0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:47:44 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:48:08 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4779
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:48:08 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:48:20 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4803
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:48:20 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:48:43 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:48:43 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:48:51 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:48:52 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:49:31 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:49:31 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:49:32 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:49:32 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:49:33 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:49:33 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:49:40 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4803
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:49:40 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:49:57 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:49:57 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:31 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4781
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:31 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:32 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4781
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:32 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:33 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4781
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:33 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:33 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4781
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:33 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:33 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4781
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:33 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:50:33 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4781
