127.0.0.1 - - [15/Aug/2023:03:24:28 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:24:33 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 11672
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:24:35 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:24:42 +0530] "GET /E-BookApp/view_books.jsp?bid=13 HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:24:42 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:24:47 +0530] "GET /E-BookApp/Book%20Images/me4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:24:47 +0530] "GET /E-BookApp/Book%20Images/me2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:24:52 +0530] "GET /E-BookApp/Book%20Images/hanumanji.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:24:52 +0530] "GET /E-BookApp/Book%20Images/me1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:28:25 +0530] "GET /E-BookApp/view_books.jsp?bid=13 HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:28:25 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:29:56 +0530] "GET /E-BookApp/view_books.jsp?bid=13 HTTP/1.1" 200 4933
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:29:56 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:30:54 +0530] "GET /E-BookApp/view_books.jsp?bid=13 HTTP/1.1" 200 4954
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:30:54 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:31:45 +0530] "GET /E-BookApp/view_books.jsp?bid=13 HTTP/1.1" 200 4947
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:31:45 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:34:34 +0530] "GET /E-BookApp/view_books.jsp?bid=13 HTTP/1.1" 200 5011
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:34:34 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:35:25 +0530] "GET /E-BookApp/view_books.jsp?bid=13 HTTP/1.1" 200 5003
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:35:25 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:35:34 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 11672
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:35:34 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:35:41 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 11672
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:35:41 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:35:44 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 11672
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:35:44 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:35:47 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 11672
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:35:47 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:35:54 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 11672
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:35:54 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:37:22 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:37:23 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:37:28 +0530] "GET /E-BookApp/index.jsp HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:37:28 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:37:30 +0530] "GET /E-BookApp/view_books.jsp?bid=11 HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:37:30 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:39:14 +0530] "GET /E-BookApp/view_books.jsp?bid=11 HTTP/1.1" 200 4872
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:39:14 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:39:19 +0530] "GET /E-BookApp/view_books.jsp?bid=13 HTTP/1.1" 200 5004
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:39:19 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:49:23 +0530] "GET /E-BookApp/view_books.jsp?bid=13 HTTP/1.1" 200 5012
0:0:0:0:0:0:0:1 - - [15/Aug/2023:03:49:23 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
